"culture","ncites","npassages","nwords"
"NHS-C001",4,13,1808
"NHS-C002",16,121,20083
"NHS-C003",4,126,20264
"NHS-C004",9,29,1523
"NHS-C006",12,33,3740
"NHS-C007",10,100,18192
"NHS-C008",8,19,3453
"NHS-C009",5,163,19511
"NHS-C011",5,19,2093
"NHS-C014",13,106,30714
"NHS-C016",7,46,3777
"NHS-C017",12,30,3150
"NHS-C022",4,89,8799
"NHS-C023",13,65,9363
"NHS-C024",5,114,17212
"NHS-C027",6,20,3253
"NHS-C029",5,26,5323
"NHS-C032",10,20,2180
"NHS-C033",5,35,6200
"NHS-C036",19,315,34636
"NHS-C037",2,27,3922
"NHS-C042",13,106,9038
"NHS-C048",15,63,6288
"NHS-C050",1,2,51
"NHS-C052",4,17,3524
"NHS-C055",1,1,144
"NHS-C056",16,101,10684
"NHS-C058",5,84,5711
"NHS-C059",6,77,12764
"NHS-C064",3,28,3255
"NHS-C066",10,85,10125
"NHS-C067",26,288,30078
"NHS-C068",5,11,2257
"NHS-C070",10,288,24470
"NHS-C073",11,211,18080
"NHS-C074",7,46,6185
"NHS-C075",8,16,2707
"NHS-C077",13,114,20946
"NHS-C078",9,38,2682
"NHS-C079",4,21,1861
"NHS-C080",17,207,28916
"NHS-C081",12,62,7171
"NHS-C082",18,184,19982
"NHS-C083",7,310,70058
"NHS-C084",11,209,35542
"NHS-C085",7,59,19556
"NHS-C086",3,20,1589
"NHS-C087",1,4,177
"NHS-C088",3,3,270
"NHS-C091",3,11,4352
"NHS-C092",5,83,10163
"NHS-C095",10,91,17211
"NHS-C097",4,33,4082
"NHS-C098",7,16,1259
"NHS-C100",6,34,9174
"NHS-C108",14,88,24791
"NHS-C111",9,85,6499
"NHS-C114",2,24,1580
"NHS-C115",9,51,9846
"NHS-C116",5,22,3337
