"","song","multimodal.song"
"1",1,0
"31",2,0
"61",3,0
"91",4,0
"121",5,1
"151",6,0
"181",7,0
"211",8,0
"241",9,0
"271",10,1
"301",11,0
"331",12,0
"361",13,0
"391",14,1
"421",15,1
"451",16,1
"481",17,0
"511",18,0
"541",19,0
"571",20,0
"601",21,0
"631",22,1
"661",23,0
"691",24,1
"721",25,0
"751",26,1
"781",27,1
"811",28,1
"841",29,0
"871",30,0
"901",31,1
"931",32,1
"961",33,0
"991",34,0
"1021",35,0
"1051",36,0
"1081",37,1
"1111",38,0
"1141",39,0
"1171",40,0
"1201",41,0
"1231",42,0
"1261",43,0
"1291",44,1
"1321",45,0
"1351",46,1
"1381",47,0
"1411",48,1
"1441",49,0
"1471",50,0
"1501",51,1
"1531",52,1
"1561",53,1
"1591",54,0
"1621",55,0
"1651",56,0
"1681",57,0
"1711",58,1
"1741",59,1
"1771",60,1
"1801",61,0
"1831",62,0
"1861",63,0
"1891",64,0
"1921",65,1
"1951",66,1
"1981",67,0
"2011",68,0
"2041",69,0
"2071",70,1
"2101",71,0
"2131",72,1
"2161",73,0
"2191",74,0
"2221",75,1
"2251",76,0
"2281",77,1
"2311",78,1
"2341",79,1
"2371",80,1
"2401",81,1
"2431",82,0
"2461",83,1
"2491",84,1
"2521",85,1
"2551",86,0
"2581",87,0
"2611",88,0
"2641",89,0
"2671",90,0
"2701",91,1
"2731",92,0
"2761",93,0
"2791",94,1
"2821",95,1
"2851",96,1
"2881",97,0
"2911",98,0
"2941",99,1
"2971",100,0
"3001",101,1
"3031",102,1
"3061",103,0
"3091",104,0
"3121",105,0
"3151",106,0
"3181",107,0
"3211",108,0
"3241",109,0
"3271",110,1
"3301",111,0
"3331",112,0
"3361",113,1
"3391",114,0
"3421",115,0
"3451",116,1
"3481",117,0
"3511",118,0
