type,latitude,longitude
Lullaby,-16.52,139.41
Healing,-3.9000001,141.19
Lullaby,48.556919,-113.01342
Healing,27.310642,79.036255
Dance,5.2800002,-76.830002
Healing,6.3899999,-4.4200001
Love,-25.289,-57.605999
Love,16.00107,-88.918633
Lullaby,17.7239,-100.0719
Love,54,-125
Healing,7.3755555,143.91389
Love,14.01,.75
Dance,-12.7308,134.5928
Dance,-19.465673,-68.641014
Love,36.34,-96.800003
Love,10.83,-73.690002
Love,26.540001,99.910004
Love,56.950001,-7.4899998
Love,4,-56
Dance,48.556919,-113.01342
Lullaby,70,25
Dance,-12.89,-38.68
Healing,29.504644,-112.39611
Healing,5.1799998,-64.139999
Dance,4,18
Love,67.005302,78.233803
Healing,-10.988415,26.737858
Love,46.16357,-93.757469
Dance,37.507946,22.373489
Dance,63.169998,14.96
Healing,43.05011,-80.082947
Dance,42.107201,-78.7911
Healing,20.388,-88.473
Lullaby,11.386389,-71.980835
Dance,28.47673,-.14128999
Dance,47.487537,-94.885849
Lullaby,-10.920148,-50.18325
Healing,-9.7713003,-38.182899
Lullaby,-14.157,33.842899
Lullaby,4,18
Healing,42.12278,45.296082
Dance,42.400002,142.25999
Lullaby,57.620468,-7.33078
Lullaby,29.504601,-112.3961
Love,18.357536,7.3154669
Dance,24.265381,86.648018
Love,-13.314011,-71.593163
Lullaby,34.7836,47.6003
Lullaby,6.084528,10.13017
Dance,19.364721,-154.97223
Lullaby,-13.978028,-171.46155
Love,68.090714,21.700781
Love,21.2752,-157.83121
Healing,9.5699997,-78.82
Lullaby,12.9667,77.566704
Healing,47.694973,-102.34863
Love,-11.176422,132.53134
Love,-5.6268129,144.25931
Lullaby,-18.412973,-61.780544
Healing,-3.0926416,115.28376
Love,-2.3499999,29.733299
Lullaby,42.635799,142.1595
Dance,-3.3666999,36.6833
Healing,37.566502,126.978
Love,-28.224237,31.462757
Healing,37.256691,55.16946
Lullaby,65.629837,171.69522
Dance,-12.830995,28.196627
Love,20.761801,-104.852
Lullaby,-22.67,167.5
Lullaby,37.16,26.84
Dance,59.546902,-139.7272
Lullaby,16.775801,-3.0093999
Love,18.238001,-99.230499
Healing,54,-125
Lullaby,4.5799999,35.490002
Love,-53.163799,-70.917099
Dance,.94999999,-79.666702
Dance,7.5381684,149.42145
Healing,32.784443,-114.64528
Healing,19.375834,-155.89861
Dance,-21.1,167.82001
Healing,36.790001,10
Dance,36.580246,46.282654
Love,11.6608,37.957802
Love,46.967815,-65.633842
Lullaby,51.922752,-129.9173
Dance,-19.162201,-61.4702
Dance,4.0282731,-55.468727
Dance,-1.5594178,99.034996
Dance,6.0300002,.99000001
Love,28.776802,83.570961
Lullaby,9.5699997,-78.82
Love,7.418889,151.73195
Lullaby,-54.556889,-67.71981
Healing,48.16,-95.099998
Love,42.860001,21.879999
Dance,16.605,-92.642998
Lullaby,73.037575,-85.148033
Lullaby,-13.314011,-71.593163
Lullaby,45.551846,-73.720001
Healing,49.508202,136.914
Dance,57.620468,-7.33078
Love,36.998165,45.505371
Love,-3.0926416,115.28376
Dance,65.629837,171.69522
Healing,-19.162201,-61.4702
Healing,-25,135
Healing,10.83,-73.690002
Dance,34,-112
Lullaby,36.049999,-106.07
Healing,.23540001,-78.261597
Healing,.96055102,31.431355
Lullaby,7.3755555,143.91389
Dance,27.644449,-110.29562
Healing,1.5571001,28.4491
Lullaby,21.6833,102.1
Love,36.067219,-109.188
